,effective_to_month,effective_to_week,effective_to_day,x0_California,x0_Nevada,x0_Oregon,x0_Washington,x1_Yes,x2_College,x2_Doctor,x2_High School or Below,x2_Master,x3_M,x4_Married,x4_Single,x5_Personal Auto,x5_Special Auto,x6_Corporate L2,x6_Corporate L3,x6_Personal L1,x6_Personal L2,x6_Personal L3,x6_Special L1,x6_Special L2,x6_Special L3,x7_Offer2,x7_Offer3,x7_Offer4,x8_Branch,x8_Call Center,x8_Web,x9_Luxury Car,x9_Luxury SUV,x9_SUV,x9_Sports Car,x9_Two-Door Car,coverage,employmentstatus,location_code,vehicle_size,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
19,1,2,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0.0949050043871627,0.6615256898810774,0.17021276595744683,0.3142857142857143,0.21212121212121213,0.0,0.25,0.5048882467415202
20,2,7,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,1,0.0147561653670081,0.5775997439513508,0.05531914893617024,0.8857142857142857,0.21212121212121213,0.0,0.0,0.36989055182716085
21,1,3,21,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,1,0.017327627018534277,0.13791620407877497,0.07659574468085106,0.22857142857142856,0.494949494949495,0.0,0.0,0.3948901249594496
22,1,4,26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,1,0.33676328735761796,0.1407467418809574,0.04255319148936171,0.37142857142857144,0.030303030303030304,0.0,0.125,0.5323877771870378
23,2,8,24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.008365239927976727,0.0,0.05106382978723406,0.11428571428571428,0.4444444444444445,0.6000000000000001,0.0,0.5773628040301211
24,2,5,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,1,0.0074853163609769555,0.17873395945229595,0.0,0.8571428571428571,0.9191919191919192,0.0,0.0,0.45738905779017147
25,1,4,29,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,2,0.059144097902596136,0.9755953631189926,0.046808510638297884,0.6285714285714286,0.010101010101010102,0.0,0.25,0.4052909952812555
26,2,9,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.031031469256527035,0.0,0.21276595744680854,0.42857142857142855,0.4747474747474748,0.0,0.0,0.832382654774503
27,2,6,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,3,2,1,0.05224886255954033,0.10512997469519209,0.33191489361702126,0.9428571428571428,0.6464646464646465,0.0,0.0,0.5376355532062622
28,2,5,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,2,0.16671224603999354,0.866004540862764,0.21276595744680854,0.9428571428571428,0.5454545454545455,0.4,0.125,0.5548873930060977
29,2,6,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.020260077688574005,0.7570438383292826,0.08085106382978724,0.4857142857142857,0.4444444444444445,0.2,0.0,0.39989003958590735
30,2,9,28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.008431784285723089,0.2316240085616267,0.008510638297872353,0.11428571428571428,0.06060606060606061,0.2,0.0,0.33561409855593377
31,1,3,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2,1,0.25871290943325276,0.6601154219301668,0.7489361702127659,0.02857142857142857,0.14141414141414144,0.0,0.625,0.6414773405244105
32,1,4,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,0.04268058070075865,0.0,0.017021276595744705,0.5428571428571428,0.5656565656565657,0.0,0.25,0.3208818990665734
33,1,3,18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0.047279388140932486,0.5451035696782389,0.008510638297872353,0.7999999999999999,0.17171717171717174,0.0,0.625,0.3148914909361255
34,2,6,13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.04597701201490429,0.3726708074534162,0.004255319148936176,0.5428571428571428,0.42424242424242425,0.0,0.875,0.015977512600639007
35,1,2,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,1,0.058267914310706444,0.6900011002090397,0.04255319148936171,0.3142857142857143,0.4040404040404041,0.0,0.625,0.2128881774343703
36,1,1,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0.1816976509311593,0.4231303947750073,0.23829787234042554,0.2857142857142857,0.6262626262626263,0.0,0.125,0.5848868807648442
37,2,5,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.08306363088065588,0.6571848651243737,0.12765957446808512,0.5428571428571428,0.8686868686868687,0.0,0.875,0.45488910047694264
38,1,4,25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0.01805847206868879,0.0,0.12340425531914895,0.19999999999999998,0.797979797979798,0.0,0.0,0.6748853440410838
39,2,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.009447544076553627,0.5325311809243757,0.021276595744680882,0.11428571428571428,0.15151515151515152,0.4,0.0,0.163850162675139
40,1,3,18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0.011423459037849054,0.0,0.03829787234042553,0.19999999999999998,0.010101010101010102,0.2,0.0,0.5043867303049133
41,1,2,11,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,1,0.01322598251573491,0.500805152979066,0.04255319148936171,0.08571428571428572,0.32323232323232326,0.0,0.0,0.019603756932517043
42,1,4,28,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.03091988317474443,0.6003240615716987,0.16170212765957448,0.34285714285714286,0.2828282828282829,0.0,0.0,0.9195394426140172
43,2,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,0.1565518468581686,0.4325221792140507,0.17872340425531918,0.42857142857142855,0.16161616161616163,0.0,0.125,0.5148880759944356
44,2,8,23,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,2,0.008266377590772624,0.9285164181194427,0.0,0.42857142857142855,0.5656565656565657,0.0,0.0,0.3048916616832101
45,1,4,25,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,3,1,1,0.16544791969504927,0.10106920314859824,0.47234042553191496,0.14285714285714285,0.04040404040404041,0.6000000000000001,0.25,0.0004361863021188913
46,1,5,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.038941547852379015,0.0,0.05106382978723406,0.19999999999999998,0.5757575757575758,0.6000000000000001,0.5,0.6031844370840701
47,1,52,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,1,0.05478528600732029,0.23222412258329084,0.04255319148936171,0.19999999999999998,0.10101010101010102,0.0,0.375,0.4663404049459188
48,2,6,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0.02190401148446699,0.0,0.1319148936170213,0.3142857142857143,0.7777777777777778,0.0,0.0,0.5515792036600975
49,1,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.006006297223029172,0.0,0.004255319148936176,0.3142857142857143,0.5656565656565657,0.0,0.0,0.32595710928235894
50,1,3,17,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0.5273414249040284,0.24808713655594564,0.18297872340425536,0.02857142857142857,0.2828282828282829,0.0,0.125,0.6184595241786246
51,1,2,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0,1,0.47834713544235075,0.33196307298386696,0.19148936170212766,0.5142857142857142,0.9595959595959597,0.0,0.125,0.529887819873809
52,2,8,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.09219045590818564,0.36020843960352467,0.034042553191489355,0.11428571428571428,0.4040404040404041,0.6000000000000001,0.125,0.18109801712635756
53,2,7,16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0.04479277399050396,0.2983966953721207,0.012765957446808529,0.5428571428571428,0.4444444444444445,0.0,0.25,0.3198914055625833
54,1,3,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,0,0.036297779151876174,0.16704173793020674,0.2212765957446809,0.5714285714285714,0.26262626262626265,0.0,0.0,0.8661591394993596
55,2,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.07978255842610979,0.4663186005341015,0.12765957446808512,0.02857142857142857,0.5353535353535354,0.0,0.25,0.45488910047694264
56,2,6,13,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,1,0.08667735224022327,0.647613046478831,0.012765957446808529,0.6857142857142857,0.595959595959596,0.0,0.125,0.3150635609146973
57,2,8,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0.031207667830821594,0.0,0.17021276595744683,0.8285714285714285,0.12121212121212122,0.0,0.0,0.5048882467415202
58,1,4,28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,3,0,1,0.039410916978377876,0.16972224722697313,0.2680851063829787,0.9714285714285714,0.4747474747474748,0.4,0.0,0.7340177833130165
59,2,9,28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,1,0.032746309328292374,0.11623208409597824,0.2,0.11428571428571428,0.98989898989899,0.0,0.0,0.5398876491267244
60,1,52,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,1,0.03878403703412362,0.17625348816275094,0.017021276595744705,0.02857142857142857,0.36363636363636365,0.2,0.25,0.32489132018904104
61,1,3,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2,0,0,0.09411293503564439,0.11491183324831719,0.18723404255319154,0.11428571428571428,0.5050505050505051,0.0,0.625,0.5248879052473512
62,1,2,15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0.021841740633012446,0.0,0.14042553191489365,0.5714285714285714,0.5353535353535354,0.0,0.0,0.8991808100293353
63,1,4,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,1,0.3387859390929352,0.6653764215200888,0.16595744680851066,0.0,0.8686868686868687,0.0,0.125,0.10857350860734052
